Instance,RAND time,A1 time1,A1 time2,A2 time1,A2 time2,A3 time1,A3 time2
eil101,454,92,183,53,178,113,185
a280,1020,336,297,200,293,323,291
att532,2219,1008,570,731,566,1081,550
pr1002,6743,3322,2475,2507,1317,3167,1257
d1291,7088,5284,1984,4930,2026,5424,1985
d1655,11102,9944,3611,8995,3227,10084,4214
d2103,14706,14426,5396,13655,5427,14391,5394
pcb3038,24887,35433,17338,32028,17299,34484,20281
rl5915,125805,152106,46250,142345,45831,152962,45333
rl11849,913566,764269,320313,700677,325752,742629,303526
